,Sample.Name,Phylum,Class,Order,Family,Genus,Count,,,,
909,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,493,0.010016699,0.010016699,,
910,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,390,0.007923961,0.007923961,,
912,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,1651,0.033544768,0.033544768,,
927,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithioploca,470,0.009549389,0.009549389,,
933,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,970,0.019708313,0.019708313,,
949,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,3537,0.07186423,0.07186423,,
953,FS903_30_12H,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,2623,0.053293716,0.053293716,,
960,FS903_30_12H,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,1090,0.022146455,0.022146455,,4921781
997,FS903_30_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,206216,0.746264174,0.746264174,,
1061,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,17446,0.063134407,0.063134407,,
1064,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,498078,1.802468126,1.802468126,,
1069,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,1181,0.004273858,0.004273858,,
1071,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,1795,0.006495831,0.006495831,,
1076,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,452,0.001635719,0.001635719,,
1077,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,2902,0.010501894,0.010501894,,
1078,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,827,0.002992787,0.002992787,,
1079,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,5244198,18.97795073,18.97795073,,
1080,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,103533,0.374670097,0.374670097,,
1082,FS903_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,2469,0.008934933,0.008934933,,
1089,FS903_30_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,3944215,14.27351102,14.27351102,,
1094,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,2517,0.009108638,0.009108638,,
1095,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,1466,0.00530523,0.00530523,,
1096,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,8803,0.031856711,0.031856711,,
1097,FS903_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,1554,0.005623688,0.005623688,,
1184,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,897,0.003246106,0.003246106,,
1197,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,385,0.001393256,0.001393256,,
1198,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,350,0.001266596,0.001266596,,
1205,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,1681,0.006083282,0.006083282,,
1213,FS903_30_12L,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,1125,0.004071203,0.004071203,,
1268,FS903_30_12L,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1009,0.003651417,0.003651417,,
1290,FS903_30_12L,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,939,0.003398097,0.003398097,,
1320,FS903_30_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,445644,1.612717497,1.612717497,,
1343,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,73672,0.266607704,0.266607704,,
1345,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1119203,4.050224531,4.050224531,,
1349,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,1261,0.004563366,0.004563366,,
1351,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,1852,0.006702105,0.006702105,,
1352,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,607,0.00219664,0.00219664,,
1357,FS903_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,716,0.002591095,0.002591095,,
