,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
103,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,39
104,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,6
105,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,84
106,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified,360
107,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NS7_marine_group_ge,25
108,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,1101
109,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Weeksellaceae_unclassified,8
110,FS891_RNA,Bacteroidetes,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93_ge,40
111,FS891_RNA,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,102
112,FS891_RNA,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,6
113,FS891_RNA,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae_unclassified,1
114,FS891_RNA,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,31
115,FS891_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteria_unclassified,Ignavibacteria_unclassified,Ignavibacteria_unclassified,11
116,FS891_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriales_unclassified,Ignavibacteriales_unclassified,124
117,FS891_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7,228
118,FS891_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacteraceae_unclassified,21
119,FS891_RNA,Bacteroidetes,Ignavibacteria,OPB56,OPB56_fa,OPB56_ge,80
120,FS891_RNA,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,28
121,FS891_RNA,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,1
122,FS891_RNA,BRC1,BRC1_cl,BRC1_or,BRC1_fa,BRC1_ge,1
