,Temperature,Phylum,Class,Order,Family,Genus,Normalized.Counts
691,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,1.446381384
693,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,1.807144711
709,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.834015589
712,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.801400454
721,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,2.428163502
773,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,0.374741242
774,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,0.803397299
783,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.340794877
784,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,1.472340369
787,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,1.018390942
790,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.339463647
791,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,1.262671645
819,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,0.379400547
906,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.462602422
917,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,0.943176448
918,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,1.198106991
925,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,0.410018837
940,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,0.387387927
965,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.498545631
